Area,Age,Sex,Year at 30 June,Value,Flags
"Franklin local board area","40-44 Years","Female","2014",2910,
"Franklin local board area","40-44 Years","Female","2015",2840,
"Franklin local board area","40-44 Years","Female","2016",2730,
"Franklin local board area","40-44 Years","Female","2017",2670,
"Franklin local board area","40-44 Years","Female","2018",2650,
"Rodney local board area","15-19 Years","Female","2019",2120,
"Rodney local board area","15-19 Years","Female","2020",2160,
"Hibiscus and Bays local board area","15-19 Years","Female","2019",3490,
"Hibiscus and Bays local board area","15-19 Years","Female","2020",3470,
"Upper Harbour local board area","15-19 Years","Female","2019",2110,
"Upper Harbour local board area","15-19 Years","Female","2020",2080,
"Kaipatiki local board area","15-19 Years","Female","2019",2510,
"Kaipatiki local board area","15-19 Years","Female","2020",2470,
"Devonport-Takapuna local board area","15-19 Years","Female","2019",1880,
"Devonport-Takapuna local board area","15-19 Years","Female","2020",1910,
"Henderson-Massey local board area","15-19 Years","Female","2019",3900,
"Henderson-Massey local board area","15-19 Years","Female","2020",3790,
"Waitakere Ranges local board area","15-19 Years","Female","2019",1710,
"Waitakere Ranges local board area","15-19 Years","Female","2020",1710,
"Aotea/Great Barrier local board area","15-19 Years","Female","2019",15,
"Aotea/Great Barrier local board area","15-19 Years","Female","2020",15,
"Waiheke local board area","15-19 Years","Female","2019",220,
"Waiheke local board area","15-19 Years","Female","2020",220,
"Waitemata local board area","15-19 Years","Female","2019",2560,
"Waitemata local board area","15-19 Years","Female","2020",2480,
"Whau local board area","15-19 Years","Female","2019",2400,
"Whau local board area","15-19 Years","Female","2020",2340,
"Albert-Eden local board area","15-19 Years","Female","2019",3140,
"Albert-Eden local board area","15-19 Years","Female","2020",3060,
"Puketapapa local board area","15-19 Years","Female","2019",1800,
"Puketapapa local board area","15-19 Years","Female","2020",1730,
"Maungakiekie-Tamaki local board area","15-19 Years","Female","2019",2180,
"Maungakiekie-Tamaki local board area","15-19 Years","Female","2020",2240,
"Howick local board area","15-19 Years","Female","2019",4960,
"Howick local board area","15-19 Years","Female","2020",4910,
"Otara-Papatoetoe local board area","15-19 Years","Female","2019",3300,
"Otara-Papatoetoe local board area","15-19 Years","Female","2020",3340,
"Manurewa local board area","15-19 Years","Female","2019",3720,
"Manurewa local board area","15-19 Years","Female","2020",3790,
"Papakura local board area","15-19 Years","Female","2019",1870,
"Papakura local board area","15-19 Years","Female","2020",1910,
"Franklin local board area","15-19 Years","Female","2019",2460,
"Franklin local board area","15-19 Years","Female","2020",2460,
"Rodney local board area","20-24 Years","Female","2019",1680,
"Rodney local board area","20-24 Years","Female","2020",1750,
"Hibiscus and Bays local board area","20-24 Years","Female","2019",2920,
"Hibiscus and Bays local board area","20-24 Years","Female","2020",3070,
"Upper Harbour local board area","20-24 Years","Female","2019",2580,
"Upper Harbour local board area","20-24 Years","Female","2020",2520,
"Kaipatiki local board area","20-24 Years","Female","2019",3610,
"Kaipatiki local board area","20-24 Years","Female","2020",3510,
"Devonport-Takapuna local board area","20-24 Years","Female","2019",1900,
"Devonport-Takapuna local board area","20-24 Years","Female","2020",1860,
"Henderson-Massey local board area","20-24 Years","Female","2019",4440,
"Henderson-Massey local board area","20-24 Years","Female","2020",4550,
"Waitakere Ranges local board area","20-24 Years","Female","2019",1570,
"Waitakere Ranges local board area","20-24 Years","Female","2020",1580,
"Aotea/Great Barrier local board area","20-24 Years","Female","2019",10,
"Aotea/Great Barrier local board area","20-24 Years","Female","2020",10,
"Waiheke local board area","20-24 Years","Female","2019",150,
"Waiheke local board area","20-24 Years","Female","2020",150,
"Waitemata local board area","20-24 Years","Female","2019",5900,
"Waitemata local board area","20-24 Years","Female","2020",5530,
"Whau local board area","20-24 Years","Female","2019",2950,
"Whau local board area","20-24 Years","Female","2020",2920,
"Albert-Eden local board area","20-24 Years","Female","2019",4600,
"Albert-Eden local board area","20-24 Years","Female","2020",4380,
"Puketapapa local board area","20-24 Years","Female","2019",2520,
"Puketapapa local board area","20-24 Years","Female","2020",2350,
"Orakei local board area","20-24 Years","Female","2019",2650,
"Orakei local board area","20-24 Years","Female","2020",2640,
"Maungakiekie-Tamaki local board area","20-24 Years","Female","2019",3180,
"Maungakiekie-Tamaki local board area","20-24 Years","Female","2020",3180,
"Howick local board area","20-24 Years","Female","2019",4590,
"Howick local board area","20-24 Years","Female","2020",4570,
"Mangere-Otahuhu local board area","20-24 Years","Female","2019",3580,
"Mangere-Otahuhu local board area","20-24 Years","Female","2020",3710,
"Otara-Papatoetoe local board area","20-24 Years","Female","2019",3920,
"Otara-Papatoetoe local board area","20-24 Years","Female","2020",3900,
"Manurewa local board area","20-24 Years","Female","2019",4130,
"Manurewa local board area","20-24 Years","Female","2020",4100,
"Papakura local board area","20-24 Years","Female","2019",2240,
"Papakura local board area","20-24 Years","Female","2020",2330,
"Franklin local board area","20-24 Years","Female","2019",2050,
"Franklin local board area","20-24 Years","Female","2020",2110,
"Rodney local board area","25-29 Years","Female","2019",1900,
"Rodney local board area","25-29 Years","Female","2020",1980,
"Hibiscus and Bays local board area","25-29 Years","Female","2019",2850,
"Hibiscus and Bays local board area","25-29 Years","Female","2020",2950,
"Upper Harbour local board area","25-29 Years","Female","2019",2690,
"Upper Harbour local board area","25-29 Years","Female","2020",2820,
"Kaipatiki local board area","25-29 Years","Female","2019",4310,
"Kaipatiki local board area","25-29 Years","Female","2020",4290,
"Devonport-Takapuna local board area","25-29 Years","Female","2019",2010,
"Devonport-Takapuna local board area","25-29 Years","Female","2020",1960,
"Henderson-Massey local board area","25-29 Years","Female","2019",5390,
"Henderson-Massey local board area","25-29 Years","Female","2020",5460,
"Waitakere Ranges local board area","25-29 Years","Female","2019",1760,
"Waitakere Ranges local board area","25-29 Years","Female","2020",1720,
"Aotea/Great Barrier local board area","25-29 Years","Female","2019",25,
"Aotea/Great Barrier local board area","25-29 Years","Female","2020",25,
"Waiheke local board area","25-29 Years","Female","2019",250,
"Waiheke local board area","25-29 Years","Female","2020",230,
"Waitemata local board area","25-29 Years","Female","2019",7600,
"Waitemata local board area","25-29 Years","Female","2020",7530,
"Whau local board area","25-29 Years","Female","2019",3810,
"Whau local board area","25-29 Years","Female","2020",3740,
"Albert-Eden local board area","25-29 Years","Female","2019",5510,
"Albert-Eden local board area","25-29 Years","Female","2020",5610,
"Puketapapa local board area","25-29 Years","Female","2019",3100,
"Puketapapa local board area","25-29 Years","Female","2020",3110,
"Orakei local board area","25-29 Years","Female","2019",3030,
"Orakei local board area","25-29 Years","Female","2020",3030,
"Maungakiekie-Tamaki local board area","25-29 Years","Female","2019",4250,
"Maungakiekie-Tamaki local board area","25-29 Years","Female","2020",4300,
"Howick local board area","25-29 Years","Female","2019",5160,
"Howick local board area","25-29 Years","Female","2020",5180,
"Mangere-Otahuhu local board area","25-29 Years","Female","2019",3610,
"Mangere-Otahuhu local board area","25-29 Years","Female","2020",3650,
"Otara-Papatoetoe local board area","25-29 Years","Female","2019",4700,
"Otara-Papatoetoe local board area","25-29 Years","Female","2020",4800,
"Manurewa local board area","25-29 Years","Female","2019",4730,
"Manurewa local board area","25-29 Years","Female","2020",4820,
"Papakura local board area","25-29 Years","Female","2019",2890,
"Papakura local board area","25-29 Years","Female","2020",2960,
"Franklin local board area","25-29 Years","Female","2019",2130,
"Franklin local board area","25-29 Years","Female","2020",2210,
"Rodney local board area","30-34 Years","Female","2019",2020,
"Rodney local board area","30-34 Years","Female","2020",2150,
"Hibiscus and Bays local board area","30-34 Years","Female","2019",3400,
"Hibiscus and Bays local board area","30-34 Years","Female","2020",3490,
"Upper Harbour local board area","30-34 Years","Female","2019",2730,
"Upper Harbour local board area","30-34 Years","Female","2020",2890,
"Kaipatiki local board area","30-34 Years","Female","2019",4570,
"Kaipatiki local board area","30-34 Years","Female","2020",4810,
"Devonport-Takapuna local board area","30-34 Years","Female","2019",2000,
"Devonport-Takapuna local board area","30-34 Years","Female","2020",2080,
"Henderson-Massey local board area","30-34 Years","Female","2019",5640,
"Henderson-Massey local board area","30-34 Years","Female","2020",5840,
"Waitakere Ranges local board area","30-34 Years","Female","2019",1950,
"Waitakere Ranges local board area","30-34 Years","Female","2020",2010,
"Aotea/Great Barrier local board area","30-34 Years","Female","2019",25,
"Aotea/Great Barrier local board area","30-34 Years","Female","2020",30,
"Waiheke local board area","30-34 Years","Female","2019",290,
"Waiheke local board area","30-34 Years","Female","2020",310,
"Waitemata local board area","30-34 Years","Female","2019",5800,
"Waitemata local board area","30-34 Years","Female","2020",6040,
"Whau local board area","30-34 Years","Female","2019",3810,
"Whau local board area","30-34 Years","Female","2020",3890,
"Albert-Eden local board area","30-34 Years","Female","2019",4600,
"Albert-Eden local board area","30-34 Years","Female","2020",4850,
"Puketapapa local board area","30-34 Years","Female","2019",2670,
"Puketapapa local board area","30-34 Years","Female","2020",2780,
"Orakei local board area","30-34 Years","Female","2019",2960,
"Orakei local board area","30-34 Years","Female","2020",3030,
"Maungakiekie-Tamaki local board area","30-34 Years","Female","2019",4160,
"Maungakiekie-Tamaki local board area","30-34 Years","Female","2020",4300,
"Howick local board area","30-34 Years","Female","2019",5490,
"Howick local board area","30-34 Years","Female","2020",5640,
"Mangere-Otahuhu local board area","30-34 Years","Female","2019",3220,
"Mangere-Otahuhu local board area","30-34 Years","Female","2020",3400,
"Otara-Papatoetoe local board area","30-34 Years","Female","2019",3910,
"Otara-Papatoetoe local board area","30-34 Years","Female","2020",4110,
"Manurewa local board area","30-34 Years","Female","2019",4260,
"Manurewa local board area","30-34 Years","Female","2020",4550,
"Papakura local board area","30-34 Years","Female","2019",2890,
"Papakura local board area","30-34 Years","Female","2020",3100,
"Franklin local board area","30-34 Years","Female","2019",2240,
"Franklin local board area","30-34 Years","Female","2020",2400,
"Rodney local board area","35-39 Years","Female","2019",2160,
"Rodney local board area","35-39 Years","Female","2020",2270,
"Hibiscus and Bays local board area","35-39 Years","Female","2019",3860,
"Hibiscus and Bays local board area","35-39 Years","Female","2020",4100,
"Upper Harbour local board area","35-39 Years","Female","2019",2940,
"Upper Harbour local board area","35-39 Years","Female","2020",3100,
"Kaipatiki local board area","35-39 Years","Female","2019",4120,
